,Calciatore,Ruolo,Squadra,Partite Giocate,MV,FM,Gol,Gol Subiti,Rigori,Rigori Parati,Assist,Ammonizioni,Espulsioni
0,Higuain,a,NAP,35,"6,96","10,06",36,0,3 / 3,0,2,1,1
1,Dybala,a,JUV,33,"6,65","8,58",19,0,6 / 6,0,7,1,0
2,Verdi,c,CAR,5,"6,5","8,2",3,0,2 / 2,0,0,1,0
3,El Shaarawy,a,ROM,16,"6,38","8,0",8,0,0 / 0,0,2,0,0
4,Totti,a,ROM,12,"6,54","7,92",5,0,1 / 1,0,3,3,0
5,Ilicic,c,FIO,27,"6,31","7,87",13,0,7 / 7,0,4,2,0
6,Pavoletti,a,GEN,25,"6,18","7,84",14,0,0 / 0,0,2,3,1
7,Gervinho,a,ROM,14,"6,29","7,64",6,0,0 / 0,0,1,0,0
8,Icardi,a,INT,31,"6,06","7,63",16,0,1 / 2,0,4,1,0
9,Sadiq,a,ROM,4,"6,12","7,62",2,0,0 / 0,0,0,0,0
10,Insigne,a,NAP,37,"6,32","7,51",12,0,2 / 2,0,9,2,0
11,Salah,a,ROM,34,"6,18","7,51",14,0,0 / 0,0,5,1,1
12,Gabbiadini,a,NAP,13,"6,08","7,42",5,0,1 / 1,0,3,1,0
13,Mandzukic,a,JUV,27,"6,35","7,41",10,0,0 / 0,0,1,5,0
14,Pjanic,c,ROM,32,"6,34","7,34",10,0,1 / 1,0,10,10,1
15,Niang,a,MIL,15,"6,1","7,33",5,0,2 / 2,0,4,1,0
16,Maccarone,a,EMP,35,"6,16","7,31",13,0,1 / 1,0,3,4,0
17,Bacca,a,MIL,37,"5,81","7,30",18,0,2 / 2,0,2,2,0
18,Klose,a,LAZ,23,"6,11","7,26",7,0,1 / 1,0,7,3,0
19,Khedira,c,JUV,19,"6,42","7,24",5,0,0 / 0,0,3,3,1
20,Eder,a,INT,31,"5,98","7,23",13,0,3 / 3,0,1,3,0
21,Immobile,a,TOR,14,"6,21","7,21",5,0,2 / 3,0,3,2,0
22,Borriello,a,ATA,25,"6,24","7,16",8,0,1 / 1,0,2,4,1
23,Belotti,a,TOR,34,"6,06","7,15",12,0,4 / 4,0,3,4,0
24,Pogba,c,JUV,35,"6,4","7,14",8,0,1 / 2,0,10,10,0
25,Gomez,c,ATA,34,"6,35","7,12",7,0,0 / 0,0,8,4,1
26,Morata,a,JUV,27,"6,13","7,06",7,0,1 / 1,0,7,6,0
27,Kalinic,a,FIO,35,"6,13","7,06",12,0,0 / 1,0,2,5,0
28,Babacar,a,FIO,14,"5,93","7,04",5,0,1 / 1,0,1,2,0
29,Thereau,a,UDI,35,"6,07","7,04",11,0,0 / 0,0,3,2,1
30,Zapata D.,a,UDI,24,"6,06","7,04",8,0,0 / 0,0,2,6,0
31,Abbiati,p,MIL,1,"7,0","7,0",0,0,0 / 0,0,0,0,0
