,Calciatore,Ruolo,Squadra,Partite Giocate,MV,FM,Gol,Gol Subiti,Rigori,Rigori Parati,Assist,Ammonizioni,Espulsioni
0,Gagliano,a,CAG,1,"7,5","11,5",1,0,0 / 0,0,1,0,0
1,Diallo Am.,a,ATA,1,"7,0","10,0",1,0,0 / 0,0,0,0,0
2,Immobile,a,LAZ,37,"6,58","9,5",36,0,14 / 15,0,7,8,0
3,Ronaldo,a,JUV,33,"6,56","9,33",31,0,12 / 13,0,3,3,0
4,Zapata D.,a,ATA,28,"6,5","8,62",18,0,1 / 1,0,6,1,0
5,Reina,p,MIL,1,"6,5","8,5",0,1,0 / 0,1,0,0,0
6,Ilicic,a,ATA,25,"6,52","8,42",15,0,0 / 0,0,4,1,1
7,Lukaku,a,INT,36,"6,40","8,32",23,0,6 / 6,0,1,2,0
8,Caputo,a,SAS,34,"6,34","8,32",21,0,2 / 2,0,6,3,0
9,Ibrahimovic,a,MIL,18,"6,53","8,17",10,0,2 / 3,0,3,1,0
10,Dzeko,a,ROM,35,"6,54","7,97",16,0,0 / 0,0,4,4,0
11,Cornelius,a,PAR,23,"6,33","7,96",12,0,0 / 0,0,2,1,0
12,Muriel,a,ATA,31,"6,26","7,92",18,0,6 / 7,0,1,1,0
13,Berardi,a,SAS,31,"6,53","7,89",14,0,2 / 3,0,7,6,1
14,Dybala,a,JUV,32,"6,70","7,88",11,0,1 / 1,0,7,5,0
15,Kalinic,a,ROM,10,"6,2","7,8",5,0,0 / 0,0,1,1,0
16,Rebic,a,MIL,22,"6,27","7,77",11,0,0 / 0,0,2,5,0
17,Gomez,c,ATA,36,"6,69","7,61",7,0,0 / 0,0,13,2,0
18,Mkhitaryan,c,ROM,22,"6,25","7,59",9,0,0 / 0,0,5,5,0
19,Pazzini,a,VER,9,"6,22","7,56",4,0,3 / 3,0,0,0,0
20,Joao Pedro,a,CAG,36,"6,19","7,56",18,0,4 / 6,0,4,6,0
21,Luis Alberto,c,LAZ,36,"6,60","7,44",6,0,1 / 1,0,15,5,0
22,Kulusevski,c,PAR,36,"6,40","7,42",10,0,1 / 1,0,8,3,0
23,Belotti,a,TOR,35,"6,16","7,41",16,0,7 / 8,0,3,4,0
24,Sanchez,a,INT,17,"6,35","7,41",4,0,1 / 1,0,8,2,1
25,Kouame',a,FIO,18,"6,25","7,39",6,0,0 / 0,0,3,1,0
26,Juwara,a,BOL,3,"6,5","7,33",1,0,0 / 0,0,0,1,0
27,Singo,d,TOR,3,"6,33","7,33",1,0,0 / 0,0,0,0,0
28,Gosens,d,ATA,33,"6,33","7,32",9,0,0 / 0,0,7,3,0
29,Barrow,a,BOL,25,"6,18","7,32",9,0,1 / 2,0,5,1,0
30,Lapadula,a,LEC,24,"6,15","7,31",11,0,2 / 2,0,0,8,1
31,Boga,a,SAS,33,"6,24","7,30",11,0,0 / 0,0,2,0,0
32,Milik,a,NAP,26,"6,12","7,29",11,0,0 / 0,0,0,5,0
33,Nainggolan,c,CAG,26,"6,44","7,23",6,0,0 / 0,0,5,5,0
34,Martinez L.,a,INT,35,"6,14","7,21",14,0,2 / 3,0,3,7,1
35,Raspadori,a,SAS,7,"6,36","7,21",2,0,0 / 0,0,0,0,0
36,Mertens,a,NAP,31,"6,19","7,18",9,0,0 / 0,0,6,5,0
37,Pandev,a,GEN,29,"6,24","7,16",9,0,0 / 0,0,2,4,1
38,Calhanoglu,c,MIL,35,"6,2","7,14",9,0,1 / 1,0,9,6,0
39,Sensi,c,INT,12,"6,38","7,12",3,0,0 / 0,0,1,2,0
40,Gabbiadini,a,SAM,32,"6,08","7,11",11,0,1 / 1,0,1,2,0
41,Bonazzoli,a,SAM,18,"6,14","7,11",6,0,0 / 0,0,0,1,0
